N° Orden,Fecha Venta,Id Comisionista,Id Canal,IdCombo,IdProducto,Tipo,Monto,Codigo
1,20/05/2018,COM-030,GN,M-APP2CR,CASI-SIS5,COMISION,1568.9,BOL-149
2,21/05/2018,COM-031,GS,M-APP2SR,CASI-SIS5E,COMISION,45.26,BOL-150
3,22/05/2018,COM-032,IN,M-APPCR,CASI-SIS8,COMISION,486.9,BOL-151
4,23/05/2018,COM-033,MT,M-APPSR,CBAF4G,COMISION,578.6,BOL-152
5,24/05/2018,COM-034,NP,M-CFAP,CCAAM,COMISION,235.9,BOL-153
6,25/05/2018,COM-035,NS,M-CFCUP,CCACO,COMISION,654.3,BOL-154
7,26/05/2018,COM-036,NT,M-CFD,CCANM,COMISION,265.1,BOL-155
8,27/05/2018,COM-037,OD,M-CFF,CCARE,COMISION,453.9,BOL-156
9,28/05/2018,COM-038,OG,M-CFG,CCPA,COMISION,784.6,BOL-157
10,29/05/2018,COM-039,OL,M-CFGC,CCPC,COMISION,534.8,BOL-158
11,30/05/2018,COM-040,AP,M-MCFFC,CM7T013,COMISION,961.7,BOL-159
12,31/05/2018,COM-041,AT,M-MCFFCA,CM7T1,COMISION,586.4,BOL-160
13,20/05/2018,COM-042,BD,M-MCFFCP,CM7T5,COMISION,358.6,BOL-161
14,21/05/2018,COM-043,CB,M-MGP,CM7T7,COMISION,951.2,BOL-162
15,22/05/2018,COM-044,CL,M-MRG,CM7T8,COMISION,658.48,FACT-046
16,23/05/2018,COM-045,CN,M-PVR,CMIGRA,COMISION,1568.9,FACT-047
17,24/05/2018,COM-046,CV,M-RCF,CMNT,COMISION,45.26,FACT-048
18,25/05/2018,COM-047,EN,M-RCG,CMR,COMISION,486.9,FACT-049
19,26/05/2018,COM-048,FI,M-SDA,CPB4,COMISION,578.6,FACT-050
20,27/05/2018,COM-049,FP,M-SDAJ,CPBE,COMISION,235.9,FACT-051
21,28/05/2018,COM-050,GN,M-SDAO,CPCAR,COMISION,654.3,FACT-052
22,29/05/2018,COM-051,OW,M-SDPJ,CPRSC,COMISION,265.1,FACT-053
23,30/05/2018,COM-052,RT,M-SDPO,CPRSR,COMISION,453.9,FACT-054
24,31/05/2018,COM-053,SM,M-SFA,CPSB,COMISION,784.6,FACT-055
25,20/05/2018,COM-054,SO,M-SFAO,CPSIM,COMISION,534.8,FACT-056
26,21/05/2018,COM-055,SS,M-SFP,CPSIMA,COMISION,961.7,FACT-057
27,22/05/2018,COM-056,TE,M-SFPO,CPSIMR,COMISION,586.4,BOL-163
28,23/05/2018,COM-057,TR,M-SOCUP,CPSM2M,COMISION,358.6,BOL-164
29,24/05/2018,COM-058,UN,M-SOSUP,CPST,COMISION,951.2,BOL-165
30,25/05/2018,COM-059,UP,N-MRM,CPTRA,COMISION,658.48,BOL-166
31,26/05/2018,COM-060,VC,M-MGP,CPV4,COMISION,235.9,BOL-167
32,27/05/2018,COM-061,AT,M-MCFDCP,CUPPQD,COMISION,654.3,BOL-168
33,28/05/2018,COM-062,BD,M-MCFFC,CUPPQV,COMISION,265.1,BOL-169
34,29/05/2018,COM-063,CB,M-MCFFCA,GDOW,COMISION,453.9,BOL-170
35,30/05/2018,COM-064,CL,M-MCFFCP,GRET,COMISION,784.6,BOL-171
36,31/05/2018,COM-065,CN,M-SDPO,GRETB,COMISION,534.8,BOL-172
37,20/05/2018,COM-066,CV,M-SFA,GRETM,COMISION,961.7,BOL-173
38,21/05/2018,COM-067,EN,M-SFAO,HP,COMISION,789.65,FACT-058
39,22/05/2018,COM-068,FI,M-SFP,LSPR,COMISION,486.2,FACT-059
40,23/05/2018,COM-069,FP,M-SFPO,LSPRE,COMISION,564.3,FACT-060
41,24/05/2018,COM-070,GN,M-SOCUP,MCM7ED4,COMISION,961,FACT-061
42,25/05/2018,COM-071,GS,M-SOSUP,MCPB4,COMISION,764.3,FACT-062
43,26/05/2018,COM-072,OD,M-CFF,CCARE,COMISION,265.9,FACT-063
44,27/05/2018,COM-073,OG,M-CFG,CCPA,COMISION,358.4,FACT-064
45,28/05/2018,COM-074,OL,M-CFGC,CCPC,COMISION,168.3,FACT-065
46,29/05/2018,COM-075,AP,M-MCFFC,CM7T013,COMISION,79.68,FACT-066
47,30/05/2018,COM-076,AT,M-MCFFCA,CM7T1,COMISION,784.6,FACT-067
48,31/05/2018,COM-077,BD,M-MCFFCP,CM7T5,COMISION,534.8,FACT-068
49,20/05/2018,COM-078,CB,M-MGP,CM7T7,COMISION,961.7,FACT-069
50,21/05/2018,COM-079,CL,M-MRG,CM7T8,COMISION,789.65,FACT-070
51,22/05/2018,COM-080,CN,M-PVR,CMIGRA,COMISION,486.2,FACT-071
52,23/05/2018,COM-081,CV,M-RCF,CMNT,COMISION,564.3,FACT-072
