N° Orden,Fecha Venta,Id Comisionista,Id Canal,IdCombo,IdProducto,Tipo,Monto,Codigo
1,20/05/2018,COM-030,GN,M-APP2CR,CASI-SIS5,COMISION,1568.9,BOL-149
2,21/05/2018,COM-031,GS,M-APP2SR,CASI-SIS5E,COMISION,45.26,BOL-150
3,5/06/2018,COM-049,SO,M-COSUP,CFYA,COMISION,198.86,FACT-147
4,6/06/2018,COM-050,AG,M-MCFDC,CM7EDT1,COMISION,366.25,FACT-148
5,7/06/2018,COM-060,AI,M-MCFDCA,CM7MN,COMISION,468.1,FACT-149
6,8/06/2018,COM-061,AM,M-MCFDCP,CM7T,COMISION,24.36,FACT-150
7,9/06/2018,COM-062,SS,M-CUP,CFYI,COMISION,376.95,FACT-151
8,10/06/2018,COM-063,TE,M-FLT,CM7013,COMISION,325.14,FACT-152
9,11/06/2018,COM-064,TR,M-FNP,CM71,COMISION,444.66,FACT-153
10,8/06/2018,COM-065,UN,M-FPR,CM714,COMISION,278.86,FACT-154
11,9/06/2018,COM-066,UP,M-FPRA,CM715,COMISION,73.92,BOL-205
12,10/06/2018,COM-067,VC,M-FPRP,CM730,COMISION,352.78,BOL-206
13,11/06/2018,COM-068,VI,M-FPV,CM75,COMISION,78.22,BOL-207
14,12/06/2018,COM-069,VL,M-FPVA,CM76,COMISION,339.09,BOL-208
15,4/06/2018,COM-070,VM,M-FPVP,CM77,COMISION,416.62,BOL-209
16,5/06/2018,COM-071,VO,M-FRG,CM78,COMISION,342.68,BOL-210
17,6/06/2018,COM-072,VR,M-FST,CM7ED,COMISION,303.32,BOL-211
18,5/06/2018,COM-073,VS,M-FTP,CM7ED1,COMISION,220.3,BOL-212
19,6/06/2018,COM-074,VO,M-FRG,CM78,COMISION,317.42,BOL-213
20,7/06/2018,COM-075,VR,M-FST,CM7ED,COMISION,292.72,BOL-214
21,8/06/2018,COM-076,VS,M-FTP,CM7ED1,COMISION,171.02,BOL-215
22,9/06/2018,COM-077,AD,M-MCF,CM7ED4,COMISION,257.57,BOL-216
23,10/06/2018,COM-078,AG,M-MCFDC,CM7EDT1,COMISION,237.91,BOL-217
24,11/06/2018,COM-079,OW,M-CFM2,CCPLA,COMISION,295.47,BOL-218
25,8/06/2018,COM-080,RT,M-CFSUP,CCPMN,COMISION,367.65,BOL-219
26,9/06/2018,COM-081,SM,M-COCUP,CCPT,COMISION,138.62,BOL-220
27,9/06/2018,COM-082,SO,M-COSUP,CFYA,COMISION,3.8,BOL-221
28,10/06/2018,COM-063,AG,M-MCFDC,CM7EDT1,COMISION,349.67,BOL-222
29,11/06/2018,COM-064,AI,M-MCFDCA,CM7MN,COMISION,218.9,BOL-223
30,12/06/2018,COM-065,AM,M-MCFDCP,CM7T,COMISION,55.95,BOL-224
31,4/06/2018,COM-066,SS,M-CUP,CFYI,COMISION,363.66,BOL-225
32,5/06/2018,COM-067,TE,M-FLT,CM7013,COMISION,417.75,BOL-226
33,6/06/2018,COM-068,TR,M-FNP,CM71,COMISION,98.41,BOL-227
34,8/06/2018,COM-069,UN,M-FPR,CM714,COMISION,463.38,BOL-228
35,9/06/2018,COM-070,UP,M-FPRA,CM715,COMISION,440.52,BOL-229
36,10/06/2018,COM-071,VC,M-FPRP,CM730,COMISION,165.45,BOL-230
37,11/06/2018,COM-072,VI,M-FPV,CM75,COMISION,175.88,BOL-231
38,12/06/2018,COM-073,VL,M-FPVA,CM76,COMISION,37.99,BOL-232
39,4/06/2018,COM-074,VM,M-FPVP,CM77,COMISION,145.7,BOL-233
40,5/06/2018,COM-082,VO,M-FRG,CM78,COMISION,157.65,BOL-234
41,6/06/2018,COM-083,VR,M-FST,CM7ED,COMISION,486.84,BOL-235
42,7/06/2018,COM-084,VS,M-FTP,CM7ED1,COMISION,453.52,BOL-236
43,8/06/2018,COM-085,AD,M-MCF,CM7ED4,COMISION,480.91,BOL-237
44,9/06/2018,COM-086,AG,M-MCFDC,CM7EDT1,COMISION,90.03,BOL-238
45,10/06/2018,COM-087,OW,M-CFM2,CCPLA,COMISION,122.62,FACT-155
46,11/06/2018,COM-088,RT,M-CFSUP,CCPMN,COMISION,53.52,FACT-156
47,12/06/2018,COM-089,SM,M-COCUP,CCPT,COMISION,498.88,FACT-157
48,4/06/2018,COM-090,SO,M-COSUP,CFYA,COMISION,280.4,FACT-158
49,5/06/2018,COM-091,AG,M-MCFDC,CM7EDT1,COMISION,98.25,FACT-159
50,6/06/2018,COM-092,AI,M-MCFDCA,CM7MN,COMISION,336.22,FACT-160
51,8/06/2018,COM-093,AM,M-MCFDCP,CM7T,COMISION,196.23,FACT-161
52,9/06/2018,COM-094,SS,M-CUP,CFYI,COMISION,190.39,FACT-162
